HV Ratio,DP,FCFS,OP,runtime,Op runtime,total fuel consumed,Op Fuel
0.0,37.104,45.244,37.104,0.505,0.59,0.005,0.0
0.1,39.231,65.889,39.231,0.497,0.548,0.005,0.0
0.2,34.54,92.304,34.54,0.475,0.528,0.005,0.0
0.30000000000000004,34.305,94.047,34.375,0.477,0.549,0.005,0.0
0.4,54.558,116.408,57.071,0.451,0.498,0.008,0.002
0.5,48.701,114.451,49.845,0.45,0.487,0.007,0.001
0.6000000000000001,72.01,122.184,76.09,0.446,0.505,0.01,0.002
0.7000000000000001,83.769,122.119,83.769,0.456,0.482,0.011,0.004
0.8,102.113,122.763,102.113,0.43,0.49,0.014,0.005
0.9,116.559,122.459,116.559,0.414,0.464,0.016,0.007
1.0,122.173,122.173,122.173,0.424,0.47,0.017,0.006
