HV Ratio,DP Total Time Taken,FCFS Total Time Taken,ODP Total Time Taken,Runtime of DP,Runtime of ODP,DP Fuel Consumed,ODP Fuel Consumed
0.0,36.891,36.981,36.891,0.288,0.325,0.008,0.0
0.1,31.956,58.222,31.956,0.306,0.277,0.007,0.0
0.2,34.904,83.293,35.493,0.231,0.262,0.008,0.001
0.30000000000000004,29.025,94.469,29.025,0.245,0.296,0.006,0.001
0.4,43.767,94.759,44.81,0.289,0.251,0.01,0.002
0.5,52.635,97.035,52.635,0.248,0.242,0.012,0.003
0.6000000000000001,64.391,101.421,64.391,0.23,0.268,0.014,0.004
0.7000000000000001,66.906,96.806,66.906,0.266,0.262,0.015,0.006
0.8,74.646,98.584,75.384,0.225,0.258,0.017,0.007
0.9,92.243,98.043,92.243,0.208,0.275,0.021,0.008
1.0,99.532,99.532,99.532,0.238,0.237,0.022,0.008
